experiment_suite,task,failure,recovery_policy,controller,source_csv,experiment_notes,episodes,seeds,success_mean,success_std,final_distance_mean,final_distance_std,triggers_mean,phase_replans_mean,override_rate_mean,steps_mean,steps_std
standard_corruptions_10seed,GauzeRetrieve,none,internal_phase_replan,monitor_corrected,runs/surrol_gauzeretrieve_phase_replan_w32_10seed.csv,"GauzeRetrieve standard action corruptions, internal phase-aware recovery, 10 seed",10,10,1.0,0.0,0.01335841094499455,0.0024414687280948475,0.0,0.0,0.0,34.6,0.6992058987801001
standard_corruptions_10seed,NeedlePick,action_dropout,internal_phase_replan,clean,runs/surrol_needlepick_phase_replan_w32_10seed.csv,"NeedlePick standard action corruptions, internal phase-aware recovery, 10 seed",10,10,1.0,0.0,0.02020484421171876,0.003101977635422719,0.0,0.0,0.0,40.8,3.6147844564602556
standard_corruptions_10seed,NeedlePick,action_dropout,internal_phase_replan,monitor_corrected,runs/surrol_needlepick_phase_replan_w32_10seed.csv,"NeedlePick standard action corruptions, internal phase-aware recovery, 10 seed",10,10,1.0,0.0,0.02075338151545961,0.0026237056599493595,3.0,1.0,0.8822688463947783,84.4,31.896359945576513
standard_corruptions_10seed,NeedlePick,action_dropout,internal_phase_replan,perturbed,runs/surrol_needlepick_phase_replan_w32_10seed.csv,"NeedlePick standard action corruptions, internal phase-aware recovery, 10 seed",10,10,0.0,0.0,0.19546063214425954,0.02800286377261842,0.0,0.0,0.0,200.0,0.0
standard_corruptions_10seed,NeedlePick,action_noise,internal_phase_replan,clean,runs/surrol_needlepick_phase_replan_w32_10seed.csv,"NeedlePick standard action corruptions, internal phase-aware recovery, 10 seed",10,10,1.0,0.0,0.02020484421171876,0.003101977635422719,0.0,0.0,0.0,40.8,3.6147844564602556
standard_corruptions_10seed,NeedlePick,action_noise,internal_phase_replan,monitor_corrected,runs/surrol_needlepick_phase_replan_w32_10seed.csv,"NeedlePick standard action corruptions, internal phase-aware recovery, 10 seed",10,10,0.9,0.31622776601683794,0.04257267829331372,0.07268816728588601,16.8,14.7,0.9544612580952103,62.4,50.92303560821522
standard_corruptions_10seed,NeedlePick,action_noise,internal_phase_replan,perturbed,runs/surrol_needlepick_phase_replan_w32_10seed.csv,"NeedlePick standard action corruptions, internal phase-aware recovery, 10 seed",10,10,0.0,0.0,0.20833232992954467,0.045231975905677214,0.0,0.0,0.0,200.0,0.0
standard_corruptions_10seed,NeedlePick,execution_slip,internal_phase_replan,clean,runs/surrol_needlepick_phase_replan_w32_10seed.csv,"NeedlePick standard action corruptions, internal phase-aware recovery, 10 seed",10,10,1.0,0.0,0.02020484421171876,0.003101977635422719,0.0,0.0,0.0,40.8,3.6147844564602556
standard_corruptions_10seed,NeedlePick,execution_slip,internal_phase_replan,monitor_corrected,runs/surrol_needlepick_phase_replan_w32_10seed.csv,"NeedlePick standard action corruptions, internal phase-aware recovery, 10 seed",10,10,1.0,0.0,0.02122865324765457,0.0020138981939174,3.5,1.2,0.935238234078003,94.1,34.64566671637626
standard_corruptions_10seed,NeedlePick,execution_slip,internal_phase_replan,perturbed,runs/surrol_needlepick_phase_replan_w32_10seed.csv,"NeedlePick standard action corruptions, internal phase-aware recovery, 10 seed",10,10,0.0,0.0,0.20603479577049097,0.03909986810111656,0.0,0.0,0.0,200.0,0.0
standard_corruptions_10seed,NeedlePick,none,internal_phase_replan,clean,runs/surrol_needlepick_phase_replan_w32_10seed.csv,"NeedlePick standard action corruptions, internal phase-aware recovery, 10 seed",10,10,1.0,0.0,0.02020484421171876,0.003101977635422719,0.0,0.0,0.0,40.8,3.6147844564602556
standard_corruptions_10seed,NeedlePick,none,internal_phase_replan,monitor_corrected,runs/surrol_needlepick_phase_replan_w32_10seed.csv,"NeedlePick standard action corruptions, internal phase-aware recovery, 10 seed",10,10,1.0,0.0,0.02020459301701594,0.0031020130437864465,0.0,0.0,0.0,40.8,3.6147844564602556
third_task_reach_freeze,NeedleReach,action_freeze,oracle_override,clean,runs/surrol_needlereach_action_freeze_w16_5seed.csv,"NeedleReach third-task smoke: action-freeze failure, oracle override recovery, 5 seed",5,5,1.0,0.0,0.015684752386627303,0.004759993024165968,0.0,0.0,0.0,19.2,2.16794833886788
third_task_reach_freeze,NeedleReach,action_freeze,oracle_override,monitor_corrected,runs/surrol_needlereach_action_freeze_w16_5seed.csv,"NeedleReach third-task smoke: action-freeze failure, oracle override recovery, 5 seed",5,5,1.0,0.0,0.01568476407852308,0.004760053803502313,2.0,0.0,0.9049523809523811,21.2,2.16794833886788
third_task_reach_freeze,NeedleReach,action_freeze,oracle_override,perturbed,runs/surrol_needlereach_action_freeze_w16_5seed.csv,"NeedleReach third-task smoke: action-freeze failure, oracle override recovery, 5 seed",5,5,0.0,0.0,0.416570690441718,0.050246810559047866,0.0,0.0,0.0,120.0,0.0
third_task_reach_freeze,NeedleReach,none,oracle_override,clean,runs/surrol_needlereach_action_freeze_w16_5seed.csv,"NeedleReach third-task smoke: action-freeze failure, oracle override recovery, 5 seed",5,5,1.0,0.0,0.015684752386627303,0.004759993024165968,0.0,0.0,0.0,19.2,2.16794833886788
third_task_reach_freeze,NeedleReach,none,oracle_override,monitor_corrected,runs/surrol_needlereach_action_freeze_w16_5seed.csv,"NeedleReach third-task smoke: action-freeze failure, oracle override recovery, 5 seed",5,5,1.0,0.0,0.0156847437915064,0.004759993250300759,0.0,0.0,0.0,19.2,2.16794833886788
visual_state_drift_5seed,GauzeRetrieve,depth_scale_error,risk_triage_oracle_override,clean,runs/surrol_gauzeretrieve_perception_drift_w16_5seed.csv,"GauzeRetrieve VPPV-aligned proxy: visual-state errors route to review, near-target drift routes to auto recovery",5,5,1.0,0.0,0.01256477131133138,0.00133260885761071,0.0,0.0,0.0,34.6,0.8944271909999153
visual_state_drift_5seed,GauzeRetrieve,depth_scale_error,risk_triage_oracle_override,monitor_corrected,runs/surrol_gauzeretrieve_perception_drift_w16_5seed.csv,"GauzeRetrieve VPPV-aligned proxy: visual-state errors route to review, near-target drift routes to auto recovery",5,5,0.0,0.0,0.2645450167650504,0.016312201811916397,0.0,0.0,0.0,180.0,0.0
visual_state_drift_5seed,GauzeRetrieve,depth_scale_error,risk_triage_oracle_override,perturbed,runs/surrol_gauzeretrieve_perception_drift_w16_5seed.csv,"GauzeRetrieve VPPV-aligned proxy: visual-state errors route to review, near-target drift routes to auto recovery",5,5,0.0,0.0,0.2645450167650504,0.016312201811916397,0.0,0.0,0.0,180.0,0.0
visual_state_drift_5seed,GauzeRetrieve,near_target_drift,risk_triage_oracle_override,clean,runs/surrol_gauzeretrieve_perception_drift_w16_5seed.csv,"GauzeRetrieve VPPV-aligned proxy: visual-state errors route to review, near-target drift routes to auto recovery",5,5,1.0,0.0,0.01256477131133138,0.00133260885761071,0.0,0.0,0.0,34.6,0.8944271909999153
